Chat Session,Message Date,Delivered Date,Read Date,Edited Date,Service,Type,Sender ID,Sender Name,Status,Replying to,Subject,Text,Attachment,Attachment type,,
ALEX,,,,,iMessage,Incoming,,ALEX,Read,,,"Hey, I'm feeling really hungry. Want to hit that new place downtown?",,,,
ALEX,,,,,iMessage,Outgoing,,,Delivered,,,"Sure, I've heard their food is absolutely delicious!",,,,
ALEX,,,,,iMessage,Incoming,,ALEX,Read,,,"Yeah, I've been craving something really tasty all day.",,,,
ALEX,,,,,iMessage,Outgoing,,,Delivered,,,"Just checked their menu online, everything looks so yummy. I'm excited!",,,,
ALEX,,,,,iMessage,Incoming,,ALEX,Read,,,We should definitely try their special. Heard it's nom nom.,,,,
ALEX,,,,,iMessage,Outgoing,,,Delivered,,,"Agreed, I'm all for trying something that makes me go ""nomnom.""",,,,
ALEX,,,,,iMessage,Incoming,,ALEX,Read,,,This is going to be great. I'm so happy we're doing this.,,,,
ALEX,,,,,iMessage,Outgoing,,,Delivered,,,"Me too, so great to find new places to eat out.",,,,
ALEX,,,,,iMessage,Incoming,,ALEX,Read,,,"Alright, let's go. I'm all in for a night of relaxing and enjoying some good food.",,,,
ALEX,,,,,iMessage,Outgoing,,,Delivered,,,"Definitely, let's enjoy being cool kids for the evening.",,,,
ALEX,,,,,iMessage,Incoming,,ALEX,Read,,,That meal was awesome. I'm feeling so pleased right now.,,,,
ALEX,,,,,iMessage,Outgoing,,,Delivered,,,"Yeah, love the vibes of this place too.",,,,
ALEX,,,,,iMessage,Incoming,,ALEX,Read,,,"Uh oh, I'm starting to feel a bit odd though.",,,,
ALEX,,,,,iMessage,Outgoing,,,Delivered,,,"Oh no, you too? My stomach feels really gloomy all of a sudden.",,,,
ALEX,,,,,iMessage,Incoming,,ALEX,Read,,,"Yeah, I think that dish was not okay after all.",,,,
ALEX,,,,,iMessage,Outgoing,,,Delivered,,,This is disappointing. I was so happy a moment ago.,,,,
ALEX,,,,,iMessage,Incoming,,ALEX,Read,,,I'm feeling really downcast. Might need to head home.,,,,
ALEX,,,,,iMessage,Outgoing,,,Delivered,,,"Agreed, feeling pretty bummed out. We should check if anyone else got sick.",,,,
ALEX,,,,,iMessage,Incoming,,ALEX,Read,,,"Yeah, this turned out to be a dreary end to our night.",,,,
ALEX,,,,,iMessage,Outgoing,,,Delivered,,, Let's make sure to drink plenty of water and rest.,,,,
ALEX,,,,,iMessage,Incoming,,ALEX,Read,,,"Definitely. Tomorrow, let's stick to what we know is good.",,,,
ALEX,,,,,iMessage,Outgoing,,,Delivered,,,"Sounds good. Hopefully, we'll feel better soon.",,,,
ALEX,,,,,iMessage,Incoming,,ALEX,Read,,,"Yeah, here's hoping for a speedy recovery. No more experimenting for a while.",,,,
ALEX,,,,,iMessage,Outgoing,,,Delivered,,,Agreed. Let's just relax and take it easy until we're back to feeling joyful.,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
